Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,16/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Primary completion rate, total (% of relevant age group)",,,,,,,,,,,,"Government expenditure on education, total (% of GDP)",,,,,,,,,,,,"Unemployment, total (% of total labor force) (modeled ILO estimate)",,,,,,,,,,,,"Children out of school, primary, female",,,,,,,,,,,"Children out of school, primary, male",,,,,,,,,,,"Labor force, total",,,,,,,,,,,,Trained teachers in primary education (% of total teachers),,,,,,,,,,
Gabon,GAB,,,,,,,,,,78.42915344,,,3.078089952,2.987459898,3.013400078,3.029710054,2.666670084,2.991663933,2.662058353,3.32681179,2.933458805,2.732324123,3.181609392,,20.38999939,20.42900085,20.48800087,20.52099991,20.57299995,20.61300087,20.66900063,20.72100067,20.74900055,20.74200058,21.97200012,22.26499939,,,,,,,,,,,,,,,,,,,,,,,495285,515371,536777,558666,580084,600426,617438,633493,648907,664205,673089,688983,,,,,,,,,,52.04771042,
United Kingdom,GBR,,,,,,102.010498,100.8825531,100.1228638,100.5974579,101.5946884,,,5.66824007,5.559599876,,5.500780106,5.564509869,5.514110088,5.375329971,5.384990215,5.167990208,,,,7.789999962,8.039999962,7.880000114,7.519999981,6.110000134,5.300000191,4.809999943,4.329999924,4,3.74000001,4.472000122,4.526000023,34458,35245,31808,8407,,,9850,13380,19278,30146,,33662,35227,32221,3478,,,6361,7128,12844,25377,,32288000,32509057,32814013,33110692,33393576,33687036,34032105,34228936,34511971,34776798,34679986,34653319,,,,,,,,,,,
Georgia,GEO,106.4736633,,101.4368134,104.25811,103.5047379,102.9413834,115.4339523,113.7015991,95.50823212,92.82787323,93.53005219,,2.803649902,2.576139927,1.906100035,2.886719942,2.997679949,3.164870024,3.593869925,3.574429989,3.52105999,3.808640003,3.850080013,,20.20000076,19.62999916,19.64999962,19.42000008,17.44000053,16.51000023,16.60000038,13.93999958,12.67000008,11.56999969,18.5,10.6590004,,2382,2086,,1445,,2369,,,,116,,4206,1211,,427,,3577,,,,1921,2034639,2037401,2059015,2035839,2047473,2076280,2059401,1986332,1910785,1872142,1761695,1742589,,,,,,,,,,,
Ghana,GHA,,88.06565094,93.86432648,94.82469177,93.65453339,98.75621796,,94.72445679,93.80911255,,,,5.540599823,8.14097023,7.919139862,4.576469898,4.39978981,4.434050083,4.394529819,3.533629894,3.886130095,,,,5.380000114,5.596000195,5.910999775,6.203000069,6.524000168,6.809999943,5.52699995,4.21999979,4.276000023,4.315999985,4.651000023,4.703999996,,143078,,,,,,33801,69192,8783,110013,,155835,,,,,,56903,84794,26649,155175,10697599,10940077,11183023,11426904,11672257,11920081,12217714,12524927,12839627,13159208,13364617,13701717,50.60261917,50.60028076,52.26588058,53.30442047,52.39775848,54.69451904,56.04476929,55.3737793,60.41054916,61.5381012,67.3241272
Gibraltar,GIB,,,,,,,94.68084717,92.25805664,,100.218338,105.9471436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.29412079,100,,,100
Guinea,GIN,56.91796112,59.05986023,60.10137939,60.8259201,62.25954056,60.2975502,59.66736984,,,,59.35110855,,2.551189899,2.287420034,1.833709955,2.63421011,2.422810078,2.517139912,2.544500113,2.320339918,2.384320021,1.848369956,2.199470043,,4.772999763,4.793000221,4.81799984,4.866000175,4.895999908,4.922999859,4.880000114,4.914000034,4.982999802,5.019999981,6.103000164,6.342000008,306176,269899,280701,272119,245629,,283090,,,,221655,199210,175736,182407,167548,136334,,142323,,,,80822,3525211,3613639,3705222,3801846,3905858,4018675,4148772,4288458,4435743,4588010,4614181,4803360,,80.3763504,74.5147171,74.11840057,75.00395203,75.68726349,75.3609314,,,,76.70446777
"Gambia, The",GMB,67.10289001,63.97330856,65.6831131,66.41799927,66.99941254,67.47250366,69.27261353,72.04599762,74.71024323,78.94251251,82.26425171,85.16638184,2.563220024,2.50116992,2.637569904,1.818390012,2.230940104,2.160029888,2.024430037,2.459194422,2.365439892,2.788928032,2.763717175,,9.357999802,9.508999825,9.420000076,9.453000069,9.503000259,9.467000008,9.498000145,9.484999657,9.475999832,9.498000145,11.08100033,11.21199989,43864,44991,40820,42296,42828,33606,31082,27476,25341,18319,13922,48294,50878,48503,50114,52814,44905,43895,41254,39679,36013,34840,578418,598033,618648,638842,659684,681105,702236,724125,746817,770377,768986,801987,,89.74317169,63.4887619,81.91699982,90.65345001,85.8137207,,87.74624634,100,87.8427887,87.68089294
Guinea-Bissau,GNB,65.14251709,,,,,,,,,,,,1.860820055,1.857859969,2.001060009,2.13248992,2.200000048,2.299999952,2.299999952,2.200000048,2.137870073,2.947819948,2.708427668,,6.080999851,5.981999874,5.869999886,5.809000015,5.802999973,5.869999886,5.951000214,5.986000061,5.981999874,6.035999775,6.736999989,6.758999825,34371,,,,,,,,,,,29854,,,,,,,,,,,618942,635907,653753,672304,691379,710909,730230,750149,770686,791905,806753,832353,38.93130112,,,,,,,,,,
Equatorial Guinea,GNQ,44.38116074,42.45682144,44.01268005,,,40.77592087,,,,,,,,,,,,,,,,,,,8.81799984,8.727999687,8.612999916,8.512999535,8.482999802,8.543999672,8.62899971,8.647999763,8.623999596,8.678999901,9.901000023,9.244999886,33189,33818,34362,,,40811,,,,,,34145,35091,35655,,,42800,,,,,,326138,341631,357849,374439,391238,408279,424929,442090,459385,476710,483616,503147,45.2571106,48.82674026,,,,37.22954178,,,,,
Greece,GRC,95.31909943,93.1533432,96.98412323,95.35900879,95.57611084,97.3575592,97.33734131,96.76635742,97.93238068,96.35045624,,,,,,,,3.661390066,,3.477089882,3.597340107,,,,12.71000004,17.86000061,24.44000053,27.46999931,26.48999977,24.89999962,23.54000092,21.48999977,19.29000092,17.30999947,16.29999924,14.79500008,12672,11869,9630,8879,10887,8100,5398,3773,3856,1901,,6393,6139,4937,4392,8097,5996,4480,4374,5390,3778,,5054160,4967713,4915175,4859851,4817019,4806673,4812950,4805421,4785624,4796764,4712041,4663818,,,,,,,,,,,
Grenada,GRD,123.122963,,,108.7554703,104.6435623,,,120.9955292,123.0012283,,,,,,,,,4.238609791,,3.173799992,3.552550077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3348999,55.03876114,,53.71429062,62.97117996,63.59038925,62.99766159,64.0625,62.94918823,,
Greenland,GRL,,,,,,,,,,,,,,,,,,12.00459957,11.08613968,11.02855968,10.5601902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,83.62596893,85.79241943,84.75212097,84.86328888,84.669487,82.71166992,79.13230896,79.94132996,79.69037628,79.13033295,80.73668671,,2.848649979,2.968650103,3.005249977,2.888089895,2.985620022,3.030329943,2.944740057,2.950099945,3.137049913,3.199280024,3.299720049,,3.5,3.085000038,2.75999999,3.019999981,2.720000029,2.50999999,2.579999924,2.460000038,2.279999971,2.190000057,3.552999973,3.572000027,,47044,82762,110081,132424,135842,142679,130208,117083,118734,114414,,57729,93399,121485,144170,146694,153545,141185,129292,130153,131945,5330048,5467480,5567956,5664712,5868446,6015811,6180399,6367398,6537545,6707594,6387537,6675179,,,,,,,,,,,
Guam,GUM,,,,,,,,,,,,,,,,,,,,,,,,,8.199999809,13.30000019,12.19999981,11.5,7.599999905,6.900000095,5.400000095,5.434999943,5.559000015,5.514999866,6.802000046,6.982999802,,,,,,,,,,,,,,,,,,,,,,,70974,72921,73421,73957,74571,75338,76199,77213,78324,79375,77405,78781,,,,,,,,,,,
Guyana,GUY,92.71179199,97.63735199,97.37593842,,,,,,,,,,2.409389973,2.506690025,2.241319895,,4.360330105,3.895699978,4.737750053,4.66478014,4.45058012,,,,11.79800034,12.05700016,12.33500004,12.62800026,12.92399979,13.21199989,13.46399975,13.74600029,14.02000046,13.99199963,16.43099976,16.42499924,2547,,,,,,,,,,,1218,,,,,,,,,,,280090,283273,286495,289655,292698,295579,297957,300364,302647,306151,293720,299147,66.06301117,67.69690704,69.64942169,,,,,,,,
High income,HIC,98.78323364,98.90486908,99.36118317,99.20081329,99.35289001,99.36676025,98.79945374,98.54627991,98.44194794,98.89234924,98.98010254,,5.063020229,4.896920204,4.829549789,4.953005075,4.921020031,4.880424976,4.798150063,4.826184988,4.769209862,,,,8.190253915,7.862838496,7.898636566,7.809470359,7.212660723,6.627929999,6.147474381,5.587569024,5.071929103,4.772792308,6.485414259,5.665185147,564434,626199,635604,752164,608492,521626,360174,419386,448482,466663,420368,718740,758097,741309,764621,738387,548857,381195,463520,502017,585309,646714,586204270,588613974,593321741,597152338,601506871,605547400,611701864,617039248,622138459,628108952,622930992,625209326,,,,,,,,,,,
"Hong Kong SAR, China",HKG,,,100.7627029,99.07839966,102.2678299,105.0824966,104.1517029,103.1136627,104.4942322,106.7327499,105.4181976,,3.510030031,3.418220043,3.509609938,3.760319948,3.572550058,3.262120008,3.292649984,3.310100079,3.326519966,3.810600042,4.406340122,,4.329999924,3.420000076,3.289999962,3.400000095,3.299999952,3.309999943,3.390000105,3.130000114,2.819999933,2.930000067,5.829999924,5.315000057,,,,,,,,,,,,,,,,,,,,,,,3686417,3753214,3834805,3906208,3926619,3960062,3977452,3996264,4015566,3986315,3891040,3805180,95.6056366,95.79129028,95.79184723,96.00715637,96.41133118,96.17485809,96.60662842,96.89440918,96.55108643,95.98204803,95.68094635
Honduras,HND,84.94979095,87.47505188,86.82106781,80.90408325,77.19140625,,,,,,,,6.800000191,6.099999905,,5.874929905,7.090119839,6.412970066,5.159619808,4.937019825,6.056469917,4.912849903,6.438438892,,4.119999886,4.46999979,3.75,5.650000095,7.079999924,6.150000095,6.730000019,5.53000021,5.650000095,5.699999809,8.373000145,8.512999535,71625,71861,91963,109704,115585,,,,,,,87059,83708,104763,123641,126217,,,,,,,3214166,3197958,3225010,3568374,3764382,3870926,3933053,4105648,4351344,4238924,4089919,4251595,,,,,,,,,,,
Heavily indebted poor countries (HIPC),HPC,65.86257172,65.48107147,65.78688812,65.57917023,65.68933868,65.89103699,66.32906342,67.04135895,68.08651733,68.21270752,68.99463654,,3.521014929,3.656260014,3.377234936,3.454459906,3.516535044,3.571659923,3.265754938,3.63261497,3.3229599,3.505815506,3.277851582,,5.078762454,5.049417255,4.933888403,4.768895083,4.700817233,4.772014071,4.708744862,4.661287306,4.686503172,4.706124267,5.432760613,5.661228516,13055837,12672402,12254026,12084659,12011016,12549431,12398420,12561527,12886161,12514897,12804511,10504008,10095187,10204803,9954122,10067119,10451670,10377296,10481587,10581406,10679989,11023545,242987021,249476375,255941743,263699878,271678596,279903944,288722688,298065552,308061075,317690997,319466094,332444706,70.30683899,69.39282227,69.45629883,69.60669708,69.14948273,69.90868378,69.61145782,72.7629776,72.56211853,70.92662811,
Croatia,HRV,91.27275848,93.08901215,92.74301147,94.96452332,97.93856049,103.4840393,101.0199966,95.54715729,94.84780884,94.53153992,,,4.19863987,4.096549988,,4.500390053,,,,3.854759932,3.907550097,,,,11.61999989,13.68000031,15.93000031,17.25,17.29000092,16.18000031,13.10000038,11.21000004,8.430000305,6.619999886,7.510000229,8.682999611,3419,1320,,,,,,,,,,5615,3465,,,,,,,,,,1909758,1876824,1858316,1840265,1893188,1894251,1833113,1821332,1788894,1774837,1765171,1735532,,,,,,,,,,,
Haiti,HTI,,,,,,,,,,,,,,,,,1.753149986,1.857040048,1.395859957,1.504230022,1.632069945,,,,15.37899971,14.52799988,14.10000038,13.99600029,13.95100021,13.96199989,13.92500019,13.87699986,13.85999966,13.91499996,15.45100021,15.72599983,,,,,,,,,,,,,,,,,,,,,,,4160937,4257833,4349886,4446085,4539509,4629513,4718848,4807860,4898140,4982122,4955980,5069454,,,,,,,,,,,
Hungary,HUN,97.10366058,98.72741699,97.53672791,97.71341705,96.46964264,96.9503479,98.59475708,105.0500336,98.84925079,95.60597229,,,4.721759796,4.561329842,4.141119957,4.187729836,4.600399971,4.494100094,4.6145401,4.614099979,4.622829914,,,,11.17000008,11.02999973,11,10.18000031,7.730000019,6.809999943,5.110000134,4.159999847,3.710000038,3.420000076,4.25,4.116000175,2814,4236,5242,5930,5612,5384,4349,5183,8558,10567,,3722,5309,6428,6455,6104,5685,4297,4803,8614,10298,,4285963,4309846,4376366,4412415,4529757,4611255,4680832,4716109,4746435,4774046,4748466,4916119,,,,,,,,,,,
IBRD only,IBD,95.59963226,94.78520203,95.57652283,95.9671936,95.39111328,94.73690796,94.98348999,95.1032486,94.96154785,95.25344086,96.02346802,,4.048079967,4.070869923,3.884595037,4.1240201,4.418184996,3.969330072,4.254079819,4.080404997,4.254220009,3.819960117,,,5.78247381,5.658396561,5.5863375,5.584692531,5.57714397,5.708400063,5.816468622,5.761480503,5.625807072,5.663868596,6.878727514,6.437527746,6329004,6520923,6450885,6122469,8203421,8209951,8505442,8308404,8651442,8746114,8418420,8273613,9225353,7544776,7142443,8692064,8420270,8433149,8314549,8064057,8172220,9029930,2054298259,2073237335,2090535580,2107896971,2125810662,2143941750,2159112826,2172215971,2185613768,2205647851,2143002890,2180461096,,,,87.936203,88.28237915,87.79241943,85.3707428,87.00151825,89.11633301,88.0550766,88.36779022
IDA & IBRD total,IBT,87.71903229,87.24211884,88.03368378,88.1437912,87.85507965,87.49646759,87.78363037,88.10832214,88.37120056,88.56867218,89.11154175,,3.689985037,3.821309924,3.531010032,3.848590016,3.963769913,3.871954918,3.903209925,3.925789952,3.907550097,3.698091507,3.893035769,,5.441736408,5.349393731,5.30880587,5.320003434,5.297396893,5.437791499,5.575854813,5.568402971,5.468802594,5.490532604,6.60746987,6.305752855,30882938,30368332,30070984,29517842,31631904,32927654,32864040,33025608,32951296,33237596,33362314,28137816,28858564,27553696,26656328,28133256,29100570,28595896,28768934,27579304,28337034,29546572,2570257737,2601438358,2628899581,2657316069,2688268907,2722210455,2751521899,2781756099,2811246031,2847101496,2784879480,2842747987,,,,84.05310822,84.0619812,83.77792358,81.77815247,83.20532227,84.81580353,83.8635025,83.92610931
IDA total,IDA,70.05975342,70.6947937,71.87693787,71.69072723,72.29138184,72.7752533,73.377388,74.29242706,75.53530121,75.76654053,76.09342194,,3.502229929,3.656260014,3.377234936,3.357959986,3.47213006,3.649159908,3.474354982,3.745085001,3.576859951,3.551459312,3.443016052,,4.085086755,4.136529345,4.231115415,4.304499325,4.240092941,4.434505323,4.698906129,4.880333261,4.920315615,4.894514227,5.701834856,5.871907603,24554752,23848448,23621896,23400884,23433744,24721388,24359696,24718196,24300944,24492862,24944664,19864220,19633126,20008630,19516720,19444850,20682706,20163650,20455268,19516214,20166488,20517492,515959478,528201022,538364001,549419098,562458245,578268705,592409073,609540127,625632263,641453645,641876590,662286891,74.97956848,72.46685791,74.58818054,70.80632782,70.20630646,70.78050995,70.39594269,71.7776413,72.31510162,71.46849823,
IDA blend,IDB,72.47644806,71.95210266,73.50227356,73.92845917,74.38278961,74.63635254,75.01538086,75.6817627,77.13493347,77.89180756,77.93039703,,3.83175993,4.700129986,4.931210041,5.013881207,4.717299938,4.743500233,5.239999771,4.706804991,3.866110086,3.575389862,,,2.933227404,2.962343996,3.285950873,3.652092851,3.505825028,4.068812931,5.006149718,5.612629153,5.792066755,5.713550899,6.593901906,6.654665377,10260562,10262386,10352870,10128997,10108381,10875487,10677443,10858518,10271194,10724398,10875779,7806898,8054151,8350326,7911825,7601682,8415570,7968022,8168971,7388563,8111652,8303603,160575602,164637263,166976337,169315104,173182740,178983886,183056551,187199286,191439931,196264418,197187866,203294419,79.11932373,73.55523682,81.64202881,69.73622894,68.58601379,70.22368622,69.43573761,68.65470123,70.20977783,70.28359985,70.30724335
Indonesia,IDN,100.5890884,,103.098259,101.1456299,103.4515305,,,100.8259201,102.3348389,,,,2.81227994,3.189440012,3.407480001,3.359040022,3.288009882,3.583600044,3.5,2.669980049,3,2.841850042,,,5.610000134,5.150000095,4.46999979,4.340000153,4.050000191,4.510000229,4.300000191,3.880000114,4.400000095,3.619999886,4.28000021,4.413000107,328856,169749,493411,801403,1010434,,1170613,973920,1073003,,,434529,720353,648387,966571,909343,,608103,428719,482011,,,114596174,117225410,120144188,120972115,122770335,124807236,126206202,129127477,133000453,136202238,136459585,139164551,,,,,,,,,,,
IDA only,IDX,68.74893951,69.96814728,70.97705078,70.48969269,71.18042755,71.77741241,72.49533081,73.53608704,74.65570831,74.60205841,75.0687027,,3.502229929,3.558290005,3.319999933,3.306080103,3.428505063,3.571659923,3.094779968,3.63261497,3.457279921,3.527528763,3.330549717,,4.605539489,4.668250831,4.65606252,4.595109981,4.566757549,4.598431025,4.561511224,4.555748817,4.535951439,4.533436855,5.30626647,5.525212836,14293373,13585022,13267230,13266376,13320103,13842216,13681155,13858687,14028661,13767085,14068114,12057306,11579059,11658595,11602060,11839511,12264730,12194724,12285414,12126683,12053162,12213038,355383876,363563759,371387664,380103994,389275505,399284819,409352523,422340842,434192332,445189227,444688723,458992472,73.09143829,71.88957977,71.6701889,71.23030853,70.87413025,70.94416046,70.73368835,73.06661987,73.17508698,71.91240692,
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,,92.76335907,,96.20088959,97.57112122,97.71131897,96.23069763,94.37374878,,91.66149139,94.55912781,,3.377690077,3.79618001,3.867500067,3.844670057,,4.114570141,4.254079819,4.305449963,4.363739967,4.4072299,4.474229813,,5.546000004,5.426000118,5.414000034,5.423999786,5.43599987,5.434999943,5.422999859,5.357999802,5.329999924,5.269999981,7.997000217,5.978000164,1504393,1541334,1250998,862219,,,,,,,2437635,3417648,3904269,2587681,2025529,,,,,,,4108190,457144011,457496428,457753613,461045398,464104758,466842711,469541836,471675710,473422438,482700285,457779812,471295529,,,,,,,,69.83104706,,73.13343811,77.74928284
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,,,,97.81537628,99.83773041,98.70777893,99.69187927,98.28806305,97.32833862,100.6323166,,,6.05136013,5.829040051,5.752689838,5.342050076,4.878499985,3.758769989,3.742120028,3.50928998,3.392869949,,,,14.52999973,15.35000038,15.44999981,13.72999954,11.85999966,9.909999847,8.369999886,6.710000038,5.739999771,4.949999809,5.619999886,6.632999897,,,,,,,,,,,,,,,,,,,,,,,2261294,2239945,2230536,2248142,2252110,2271333,2313591,2335923,2378250,2425468,2412829,2497517,,,,,,,,,,,
"Iran, Islamic Rep.",IRN,99.45252991,98.78840637,97.20738983,,,98.30149841,100.2643814,99.43878937,,100.2582321,101.0606766,,3.709180117,3.484970093,3.168590069,3.06795001,2.801350117,2.797389984,3.365760088,3.790400028,3.955359936,3.663199902,3.592430115,,13.68000031,12.48999977,12.27000046,10.60000038,10.68000031,11.17000008,12.61999989,12.22999954,12.18999958,10.73999977,12.16899967,11.46100044,99884,97115,66580,,,,,,,,,87749,83600,45406,,,,,,,,,23307173,22739600,23379009,23663015,23762811,24705761,25742459,26730481,27200998,27293909,25884148,26410385,,,,100,100,100,100,100,,,
Iraq,IRQ,,,,,,,,,,,,,,,,,,4.489999771,4.710000038,,,,,,8.251000404,8.121999741,7.960000038,9.263999939,10.59000015,10.72500038,10.81999969,13.02000046,12.9659996,12.86299992,14.0880003,14.19200039,,,,,,,,,,,,,,,,,,,,,,,7144371,7423495,7742672,8304576,8889023,9291728,9620473,9631305,9968680,10242316,10368723,10718823,,,,,,,,,,,
Iceland,ISL,98.02002716,99.86000824,98.16384125,102.4735031,98.06101227,96.57388306,99.95250702,101.8414917,99.20509338,100.9760437,,,6.944240093,6.789979935,7.582230091,7.448689938,7.641409874,7.457970142,7.432199955,7.583859921,7.561709881,,,,7.559999943,7.03000021,6,5.380000114,4.900000095,3.980000019,2.980000019,2.74000001,2.700000048,3.50999999,5.480000019,5.401000023,60,149,227,322,331,206,83,,,,,147,209,297,242,206,202,60,,,,,188670,187884,189218,193193,198705,203037,208267,210572,212896,215408,213434,198858,,,,,,,,,,,
Israel,ISR,102.8270798,102.1188812,107.0847092,102.8544083,103.6381989,110.0570297,103.5787506,105.5579681,102.4397507,101.9708328,,,5.5198102,5.549369812,5.672530174,5.854259968,5.766819954,5.862110138,5.855780125,6.057909966,6.112339973,,,,8.479999542,7.139999866,6.860000134,6.210000038,5.889999866,5.25,4.800000191,4.21999979,4,3.799999952,4.329999924,5.045000076,,,,,,,,,,,,,,,,,,,,,,,3507857,3553422,3643832,3712191,3810092,3874441,3950538,4018175,4092962,4146067,4109454,4212663,,,,,,,,,,,
Italy,ITA,104.2058029,105.3638611,101.4161911,100.3593292,100.1127396,99.80954742,97.74971008,98.81697845,97.64672089,97.63696289,,,4.334119797,4.115680218,4.056019783,4.143670082,4.061279774,4.073629856,3.815789938,4.044939995,4.256140232,,,,8.359999657,8.359999657,10.64999962,12.14999962,12.68000031,11.89999962,11.68999958,11.21000004,10.60999966,9.949999809,9.159999847,9.833999634,,,,3212,13312,21264,29659,37168,45651,49814,,,,,29,10448,20839,28629,34673,43567,48425,,24554256,24564738,25125842,25291021,25695578,25660847,25927768,26090152,26142141,25875327,25093564,24954973,,,,,,,,,,,
Jamaica,JAM,,,,81.38192749,79.51925659,79.25955963,79.69506836,80.92993927,78.89025879,76.91970062,,,6.370600224,6.266640186,6.112460136,6.251080036,6.015860081,5.455210209,5.314610004,5.260169983,5.413809776,5.163640022,5.61749506,6.027470112,12.36999989,12.69999981,13.93000031,15.25,13.73999977,13.51000023,13.18999958,11.63000011,9.100000381,7.690000057,9.479999542,9.18200016,,,,,,,,,,,,,,,,,,,,,,,1279158,1294591,1302749,1343203,1354704,1376583,1424883,1444404,1433102,1457091,1396688,1438213,,,,94.0980835,95.66155243,93.37625122,96.2075119,95.49521637,100,100,100
Jordan,JOR,,77.24938965,,73.82997131,75.16387177,,72.06588745,71.33763885,72.70050812,81.67272186,81.60356903,,3.099999905,3.400000095,3.5,3.5,3.799999952,3.450000048,3.452820063,3.228539944,2.984810114,2.988470078,,,12.5,12.89999962,12.19999981,12.60000038,11.89999962,13.07999992,15.27999973,18.13999939,18.27000046,16.80999947,19.02599907,19.25200081,97823,116596,140392,149467,,,156042,137657,135554,133650,142039,94489,111265,132189,144211,,,152979,133448,129267,128140,139470,1779761,1890903,2012050,2136696,2257076,2371503,2472442,2560879,2566017,2633530,2588725,2658877,,,,,100,,100,100,100,100,100
Japan,JPN,,,,,,,,,,,,,3.599519968,3.605279922,3.64741993,3.624969959,3.551589966,,3.146430016,3.130579948,3.077820063,,,,5.099999905,4.550000191,4.360000134,4,3.599999905,3.400000095,3.099999905,2.799999952,2.400000095,2.400000095,2.799999952,2.799000025,,,,,,,,,,,,,,,,,,,,,,,66113861,65662929,65340443,65624762,65712094,65933194,66398969,66974294,68086649,68751774,68536863,68220979,,,,,,,,,,,
Kazakhstan,KAZ,107.4487915,114.1405869,107.5192795,109.3172607,115.1543884,114.2725296,110.2985764,109.6560974,110.3839035,106.3773499,102.0028,,3.462260008,3.493520021,3.901690006,3.437370062,3.421649933,2.788579941,2.978100061,2.750819921,2.615950108,2.856970072,,,5.769999981,5.389999866,5.289999962,5.199999809,5.059999943,4.929999828,4.960000038,4.900000095,4.849999905,4.800000191,4.889999866,4.900000095,,,,,,,,,,,68160,,,,,,,,,,,76826,8721578,8816456,8899357,8972219,9045894,9115881,9064290,9004270,9169408,9227219,9196321,9294725,,,,,100,100,100,100,100,100,100
Kenya,KEN,,,,,97.2009964,99.1434021,99.67874146,,,,,,4.815489769,4.700129986,4.931210041,4.837210178,4.717299938,4.743500233,4.895180225,4.963089943,5.107619762,4.97439003,5.079969883,4.799036026,2.838999987,2.836999893,2.83100009,2.808000088,2.795000076,2.77699995,2.75999999,3.513000011,4.249000072,5.010000229,5.729000092,5.742000103,,,620422,,,,,,,,,,,761042,,,,,,,,,17521856,18106418,18741301,19416508,20115070,20829067,21570342,22251990,22946017,23658574,24134840,24973363,,,,,,,,,,,
Kyrgyz Republic,KGZ,97.05922699,95.32794189,95.74697876,99.34651184,102.2726593,108.2003632,101.7858734,101.5568695,104.5162888,108.6153717,108.1418076,,5.818830013,6.79061985,7.384230137,6.780200005,5.531599998,5.985509872,6.586150169,6.026189804,5.552670002,5.366749763,,,8.640000343,8.529999733,8.430000305,8.329999924,8.050000191,7.559999943,7.210000038,6.889999866,6.886000156,6.918000221,8.706000328,9.104000092,8074,8273,3743,,,,,,,,,7741,8299,2514,,,,,,,,,2454946,2501377,2507298,2474606,2505765,2545405,2546725,2525510,2515508,2555254,2477198,2550724,68.41320038,69.65776825,71.97357941,92.14502716,93.03057098,92.7841568,94.99201202,95.43013,,,
Cambodia,KHM,85.17900085,87.46833801,93.19101715,94.19036865,96.64279175,95.51302338,92.41137695,89.54563141,87.9994812,91.02736664,91.9995575,,1.533789992,1.510689974,1.560899973,2.05053997,1.909389973,2.599999905,2.799999952,3.200000048,2.162859917,,,,0.769999981,0.579999983,0.50999999,0.439999998,0.689999998,0.389999986,0.720000029,0.140000001,0.143000007,0.147,0.331,0.611999989,66232,,,,51484,28714,65975,90079,91265,92811,111065,50899,,,,33346,53870,68211,90046,94844,97232,111873,8087213,8334043,8280172,8183449,8362550,8450593,8841029,8957446,9088032,9221528,9185555,9358081,99.05554199,98.92629242,100,100,100,100,100,100,100,100,100
Kiribati,KIR,,,,,113.1809311,93.8881073,100.8695679,,,,93.43039703,,,12.97000027,13.38438034,12.02653027,11.23237038,9.862959862,10.09358978,10.86316013,11.96829033,12.39466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0532074,94.10827637,48.60248184,54.08319855,52.44300079,78.8216629,72.71340942,,,,90.4829483
St. Kitts and Nevis,KNA,102.0310593,108.716713,110.3491287,109.0909119,101.9710922,107.9514771,98.08482361,,,,,,,,,,,2.643460035,4.150000095,4.25,4.420000076,4.300000191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.62527847,63.61656189,64.67532349,64.67532349,68.32917786,71.82319641,72.01017761,,,,
"Korea, Rep.",KOR,101.1586685,102.9780807,109.6997681,103.1858978,96.15531921,101.4107971,98.01557159,91.3551178,95.37677002,105.2397308,,,2.839999914,,,,,,4.333099842,4.328239918,4.458079815,,,,3.319999933,2.99000001,2.809999943,2.75,3.079999924,3.549999952,3.650000095,3.650000095,3.819999933,3.75,3.930000067,3.532000065,,,24441,58717,52945,18519,35711,32711,12519,,,,,35411,69643,60305,21098,38639,33524,12706,,,25510485,25927886,26294967,26647943,27396653,27784825,28000418,28292428,28444054,28712438,28474612,28551360,,,,,,,,,,,
