Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,16/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Primary completion rate, total (% of relevant age group)",,,,,,,,,,,,"Government expenditure on education, total (% of GDP)",,,,,,,,,,,,"Unemployment, total (% of total labor force) (modeled ILO estimate)",,,,,,,,,,,,"Children out of school, primary, female",,,,,,,,,,,"Children out of school, primary, male",,,,,,,,,,,"Labor force, total",,,,,,,,,,,,Trained teachers in primary education (% of total teachers),,,,,,,,,,
Bangladesh,BGD,67.83219147,,,,,,,,,,,,,2.132699966,2.175499916,1.966160059,,,1.535539985,,,1.326320052,,,3.380000114,3.770999908,4.118999958,4.429999828,4.383999825,4.366000175,4.349999905,4.369999886,4.413000107,4.438000202,5.413000107,5.229000092,,,,,,,,,,,,,,,,,,,,,,,57493263,58436990,59377977,60318372,61262254,62203550,63131472,66854855,68073235,69229775,68412678,69816327,,57.73414993,,,48.45056152,47.57899857,50.43132019,50.4312706,,,
Bulgaria,BGR,113.3395615,110.2010422,101.8105621,98.95879364,97.95253754,96.19129181,92.04534149,89.81646729,86.6185379,84.97651672,,,3.857969999,3.546979904,3.476370096,4.058229923,,,,4.075270176,,,,,10.27999973,11.26000023,12.27000046,12.93999958,11.42000008,9.140000343,7.570000172,6.159999847,5.210000038,4.230000019,5.119999886,5.423999786,,,3047,5547,7251,10662,14626,16813,19315,21250,,,,3342,5881,8216,11049,14862,17828,20662,22412,,3415607,3331408,3342744,3370130,3359825,3327156,3257063,3350804,3319034,3367271,3286415,3274926,,,,,,,,,,,
Bahrain,BHR,,89.47138214,93.22641754,94.48236847,96.6472168,98.74027252,99.51364899,99.45120239,97.87412262,100.241188,,,3.190000057,3.029999971,2.645309925,2.476890087,2.467459917,2.674540043,2.869999886,2.324520111,2.366607189,2.094912291,2.152053356,,1.129999995,1.180999994,1.200000048,1.184000015,1.190000057,1.202000022,1.190999985,1.182999969,1.200999975,1.19599998,1.781000018,1.873999953,,3127,2987,2570,1667,555,254,,1155,1654,,,4350,3861,3132,2110,853,1096,,33,1116,,712547,723172,736418,745354,757129,777126,813315,859683,912981,964133,972372,1007121,,80.33598328,82.06233978,82.1942215,82.76753998,82.48182678,83.69342804,83.74411011,100,100,100
"Bahamas, The",BHS,,,,,,,,,,,,,2.779999971,2.660000086,2.609999895,2.720000029,2.5,2.249901056,2.331181526,2.42276907,2.249673843,2.288417339,2.371343613,2.782222271,14.31400013,14.52000046,14.02000046,16.18000031,13.80000019,12,12.69999981,9.800000191,10,10.06099987,13.3210001,13.23900032,,,,,,,,,,,,,,,,,,,,,,,189247,191668,200871,199676,203253,206732,210492,213870,217185,220584,204715,213790,91.54871368,94.28858185,94.43083954,87.40986633,81.46872711,89.64630127,90.06828308,89.64630127,89.7824707,,
Bosnia and Herzegovina,BIH,,74.04312897,76.02568817,79.58563232,93.2427597,101.4054565,93.79035187,89.0358963,85.42336273,,,,,,,,,,,,,,,,27.30999947,27.57999992,28.01000023,27.48999977,27.52000046,27.69000053,25.40999985,20.53000069,18.39999962,15.68999958,15.26500034,15.21500015,,,,,,,,,,,,,,,,,,,,,,,1378828,1347010,1332635,1299140,1281952,1275739,1240267,1207654,1187357,1177070,1193956,1175442,,,,,,,,,,,
Belarus,BLR,106.9727173,107.9056778,104.0764618,100.2649384,98.66790771,96.76220703,96.86775208,101.6810074,104.6179123,108.7617416,98.55618286,,5.220039845,4.684790134,4.959640026,5.009419918,4.818309784,4.787519932,4.946549892,4.794990063,5.381110191,4.97947979,4.952449799,,6.252999783,6.165999889,6.051000118,6.006000042,5.993999958,5.840000153,5.840000153,5.650000095,4.760000229,4.159999847,4.768000126,4.736000061,,,,2692,4717,2580,1999,,4346,8814,13329,,,,3560,2999,3305,108,,1198,5198,10585,5038739,5043129,5046715,5052578,5061572,5074277,5088830,5076176,5063569,5028781,4971927,4924079,99.76158142,99.87734985,99.64398956,99.62850952,99.43707275,99.38716888,99.47286224,99.64884186,99.55487823,99.51502228,99.84729767
Belize,BLZ,100.7418976,103.9519577,108.0577164,101.6987762,102.061203,104.2317963,105.3376236,102.6097107,104.4744797,102.8469315,104.4562302,,6.719759941,,,6.425370216,6.614689827,6.870150089,7.29365015,7.45028019,7.472270012,7.138390064,7.528777599,8.707014084,8.241999626,8.284000397,8.305999756,8.350000381,8.239999771,7.579999924,7,6.599999905,6.644000053,6.710999966,8.461999893,8.218999863,372,671,,279,,,,,,,,443,377,,157,,,,,,,,128573,133680,138797,143961,150728,156522,162081,166252,171026,175539,170828,177715,45.20489883,47.51150131,54.34432983,48.77629852,60.74967957,67.50392151,72.84483337,75.00737762,79.22837067,82.27220917,86.06620026
Bermuda,BMU,103.2092438,95.56136322,94.80692291,98.23609161,88.95027924,91.57302856,,,,,,,2.306689978,,,,1.536880016,1.501639962,,1.324959993,,,,,,,,,,,,,,,,,,65,200,,,,,,,,,,99,115,,,,,,,,,,,,,,,,,,,,,,100,100,,100,,100,,,,
Bolivia,BOL,97.25595856,96.88192749,97.44641876,94.44821167,90.71195984,88.83914185,89.91242981,91.61031342,94.83978271,91.60414886,92.88169098,,7.809999943,7.070000172,7.900000095,7.579999924,8.260000229,8.93999958,8.850000381,8.659999847,8.899999619,,,,2.614000082,2.25,2.069999933,2.440000057,2.019999981,3.109999895,3.5,3.650000095,3.519999981,3.819999933,7.900000095,8.508999825,33511,51045,73193,79376,81220,78221,70191,59300,47429,39175,32345,37507,56262,75697,78418,79252,76580,70260,59056,47935,41156,36702,4742968,4846370,4723397,4875374,5131268,4928636,5054335,5259275,5618578,5645342,5251670,6312009,,,,82.8497467,85.62248993,86.60964203,86.7164917,87.79960632,90.37877655,88.19355774,88.11885834
Brazil,BRA,,,,,,,,,,,,,5.648799896,5.737410069,5.855100155,5.838850021,5.948480129,6.24105978,6.314040184,6.32047987,6.088510036,,,,7.274000168,6.920000076,7.190000057,6.980000019,6.659999847,8.430000305,11.60000038,12.81999969,12.32999992,11.93000031,13.68999958,14.40299988,,410387,100734,,,40566,,,,,,,359073,224251,,,62777,,,,,,94040209,93794015,94871140,96095664,97184947,98729764,99749646,101501800,102576163,104376954,96539743,99428215,,,,,,,,,,,
Barbados,BRB,95.61657715,98.1675415,,,,,,,88.74687195,90.09367371,96.04075623,,6.054399967,,5.262740135,5.148990154,6.143499851,5.382918835,4.707320213,4.366380215,5.428860188,3.203989983,3.05817008,6.453624725,10.68999958,11.18999958,11.59000015,11.55000019,12.17000008,9.800000191,8.25,8.619999886,8.319999695,8.409999847,10.37699986,10.41300011,166,458,,,641,396,151,432,248,,318,334,523,,,808,509,267,287,80,,194,150802,154038,151737,153789,148096,149130,153451,151745,150615,148325,141940,143418,58.49597931,55.40697861,,,68.76876831,65.83332825,69.02768707,79.80635834,76.47058868,75.1072998,75.06774902
Brunei Darussalam,BRN,105.3538895,110.9769974,107.0699768,106.1239319,100.1175385,102.1722794,107.3572388,107.4272232,107.9787216,100.0980072,104.9582825,,2.046610117,3.322099924,2.889590025,,3.353189945,,4.425409794,,,,,,6.774000168,6.940999985,6.915999889,6.880000114,6.96999979,7.784999847,8.383000374,9.319999695,8.699999809,6.920000076,7.68200016,7.649000168,,,,,,,,,,,297,,,,,,,,,,,381,191517,194832,196639,198270,199879,201490,202432,203713,215909,215967,216798,219127,87.08931732,88.26728821,88.03862762,85.19055176,87.43756104,82.32084656,84.90804291,85.34703827,86.41262817,86.64674377,85.18083954
Bhutan,BTN,87.29344177,89.07044983,98.97335052,96.63999176,96.23844147,96.58896637,100.6621628,100,88.1620636,76.99398041,82.07420349,,4.12473011,4.765230179,,5.722750187,6.04489994,7.590099812,6.993330002,7.225739956,6.850840092,5.675891876,,,3.319999933,3.230000019,2.049999952,2.869999886,2.630000114,2.450000048,2.493000031,2.453000069,2.444000006,2.502000093,3.648999929,4.331999779,5449,4698,3493,3766,,4030,4324,4437,3332,,966,7269,6380,4931,5064,,5368,5363,5137,4124,,2286,321541,325395,318153,330423,324016,333757,339920,345577,350831,355850,344741,353855,,,,,,100,100,100,100,,100
Botswana,BWA,,,101.2084198,100.661171,,94.55426788,,,,,,,,,,,,7.806508541,7.974824905,7.299754143,6.721307278,6.914368629,8.739999771,,17.86000061,18.41699982,18.95100021,19.40099907,19.99099922,20.57099915,21.02899933,21.56599998,22.07099915,22.61000061,24.93000031,24.72200012,,,15889,16398,16996,,,,,,,,,19429,19247,19288,,,,,,,764106,777636,788714,798872,810392,824731,844352,867433,892954,919329,950933,971259,99.7564621,99.78173065,99.53283691,98.63651276,97.91203308,98.72704315,,99.84967041,,,
